neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Ditmars-Steinway,22-60 27th Street,1F,11105,0,1,0,2100,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/22_60-27-street-astoria/1f
Cobble Hill,439 Henry Street,4,11231,2,1,0,4800,0,RENTAL,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/439-henry-street-brooklyn/4
Ditmars-Steinway,21-70 Crescent Street,C2,11105,1,1,0,2425,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/21_66-crescent-street-astoria/c2
North New York,138 Bruckner Boulevard,1023,10454,1,1,0,3500,2558,RENTAL,0,f,t,13,3.50,2025-05-09,2025-05-09,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx/1023
North New York,138 Bruckner Boulevard,10115,10454,1,1,0,3300,2412,RENTAL,0,f,t,13,3.50,2025-05-09,2025-05-09,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx/10115
Prospect Lefferts Gardens,83 Winthrop Street,2A,11225,4,1,0,3826,0,RENTAL,0,f,t,,0.00,2025-08-01,2025-05-09,https://streeteasy.com/building/83-winthrop-street-brooklyn/rental/4731944
Morningside Heights,501 West 113th Street,1006,10025,0,1,0,4095,0,RENTAL,498,f,t,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/1080-amsterdam/1006
Old Howard Beach,96-08 156th Avenue,2,11414,3,1,0,2700,0,TWOFAMILY,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/96_08-156-avenue-howard_beach/2
North New York,138 Bruckner Boulevard,10289,10454,1,1,0,3600,2631,RENTAL,0,f,t,13,3.50,2025-05-09,2025-05-09,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx/10289
East Harlem,2211 3rd Avenue,2F,10035,2,2,0,3700,0,RENTAL,0,f,t,,0.00,2025-05-06,2025-05-09,https://streeteasy.com/building/216-east-121-street-new_york/2f
Astoria,35-54 29th Street,1A,11106,1,1,0,3000,0,THREEFAMILY,0,f,f,,0.00,2025-06-01,2025-05-09,https://streeteasy.com/building/35_54-29-street-astoria/1a
Midtown,888 Eighth Avenue,10N,10019,1,1,0,4695,0,RENTAL,0,f,f,,0.00,2025-05-09,2025-05-09,https://streeteasy.com/building/888-eighth-avenue-new_york/10n
