neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Long Island City,41-46 27th Street,1506,11101,1,1,0,4675,4315,RENTAL,0,f,f,13,1.00,2025-08-10,2025-06-26,https://streeteasy.com/building/link-apartments-qpn/1506
Flatbush,2415 Church Avenue,503,11226,2,2,0,3660,3378,RENTAL,0,f,f,13,1.00,2025-07-01,2025-06-26,https://streeteasy.com/building/the-sidney/503
Park Slope,400 6th Avenue,4D,11215,0,1,0,3495,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/400-6-avenue-brooklyn/4d
Kew Gardens Hills,79-25 150th Street,C10,11367,1,1,0,2800,0,RENTAL,900,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/150_05-union-turnpike-flushing/c10
Hudson Heights,880 West 181st Street,4D,10033,2,1,0,3800,0,CO_OP,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/880-west-181-street-new_york/rental/4778739
East Harlem,1998 Second Avenue,7P,10029,1,1,0,4750,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/1998-2nd-avenue-new_york/7p
Sutton Place,300 East 57th Street,15B,10022,2,2,0,8100,0,RENTAL,1316,f,f,,0.00,2025-07-14,2025-06-26,https://streeteasy.com/building/300-east-57th-street-new_york/15b
Bushwick,91 Desales Place,GARDEN UNIT,11207,2,1,0,3495,0,FOURFAMILY,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/91-de-sales-place-brooklyn/garden-unit
East Flatbush,1634 Flatbush Avenue,1011,11210,0,1,0,3200,2200,RENTAL,0,f,f,16,5.00,2025-07-01,2025-06-26,https://streeteasy.com/building/1634-flatbush-avenue-brooklyn/1011
Bushwick,514 Hart Street,3,11221,2,1,0,3500,0,THREEFAMILY,0,f,f,,0.00,2025-08-10,2025-06-26,https://streeteasy.com/building/514-hart-street-brooklyn/3
Lenox Hill,525 East 72nd Street,43J,10021,2,2,0,9600,0,RENTAL,1230,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/one-east-river-place/43j
Soho,508 Broadway,5F,10012,2,1,0,19320,0,CONDO,1800,t,f,,0.00,2025-08-30,2025-06-26,https://streeteasy.com/building/508-broadway-new_york/5f
Long Island City,41-46 27th Street,1708,11101,1,1,0,4875,4500,RENTAL,0,f,f,13,1.00,2025-08-10,2025-06-26,https://streeteasy.com/building/link-apartments-qpn/1708
East Harlem,1998 Second Avenue,3D,10029,1,1,1,5125,0,RENTAL,0,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/1998-2nd-avenue-new_york/3d
Noho,302 Mott Street,13,10012,1,1,0,3250,0,RENTAL,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/302-mott-street-new_york/13
Lenox Hill,525 East 72nd Street,9L,10021,1,1,1,5800,0,RENTAL,875,f,f,,0.00,2025-06-26,2025-06-26,https://streeteasy.com/building/one-east-river-place/9l
Greenpoint,127 Huron Street,2,11222,2,1,0,3400,0,RENTAL,0,f,f,,0.00,2025-07-15,2025-06-26,https://streeteasy.com/building/127-huron-street-brooklyn/2
North New York,582 East 138th Street,4AA,10454,3,2,0,4795,4395,RENTAL,0,f,f,12,1.00,2025-06-26,2025-06-26,https://streeteasy.com/building/582-east-138-street-bronx/4aa
Tribeca,303 Greenwich Street,6D,10013,2,2,0,9500,0,CONDO,973,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/the-tribeca/6d
Kensington,540 East 5th Street,11,11218,3,1,0,5595,0,THREEFAMILY,0,f,f,,0.00,2025-08-01,2025-06-26,https://streeteasy.com/building/540-east-5-street-brooklyn/11
