neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Upper West Side,722 Amsterdam Avenue,3C,10025,2,2,0,4650,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/722-amsterdam-avenue-new_york/3c
Waterfront,50 Regent Street,610,07302,0,1,0,3180,0,RENTAL,553,f,f,,0.00,2024-09-26,2025-10-02,https://streeteasy.com/building/50-regent-street-jersey_city/610
Waterfront,88 Regent Street,2706,07302,2,2,0,5405,0,UNKNOWN,961,f,f,,0.00,2022-05-10,2025-10-02,https://streeteasy.com/building/88-regent-street-jersey_city/2706
Homecrest,3165 Nostrand Avenue,1H,11229,1,1,0,2000,0,CO_OP,900,f,f,,0.00,2025-09-26,2025-10-02,https://streeteasy.com/building/3165-nostrand-avenue-brooklyn/rental/4869974
Fort Greene,475 Clermont Avenue,0443,11238,0,1,0,3325,0,RENTAL,400,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/475-clermont/0443
Gowanus,226 10th Street,3,11215,2,1,1,3850,0,TWOFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/226-10-street-brooklyn/3
Kensington,409 East Fourth Street,2,11218,4,2,0,6500,0,TWOFAMILY,0,f,f,,0.00,2025-10-05,2025-10-02,https://streeteasy.com/building/409-east-4-street-brooklyn/2
Greenwich Village,170 Thompson Street,17,10012,1,1,0,3550,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/170-thompson-street-new_york/17
Williamsburg,416 Kent Avenue,1102,11249,1,1,0,4995,4371,RENTAL,0,f,f,16,2.00,2025-10-02,2025-10-02,https://streeteasy.com/building/416-kent-avenue-brooklyn/1102
Concourse,811 Walton Avenue,B12,10451,1,1,0,2000,0,CO_OP,0,t,f,,0.00,2025-10-01,2025-10-02,https://streeteasy.com/building/811-walton-avenue-bronx/b12
Bedford-Stuyvesant,39 Claver Place,2,11238,1,1,0,3200,0,THREEFAMILY,800,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/39-claver-place-brooklyn/2
Far Rockaway,20-46 Seagirt Boulevard,02A,11691,2,1,0,2899,2416,RENTAL,876,f,f,12,2.00,2025-09-30,2025-10-02,https://streeteasy.com/building/20_46-seagirt-boulevard-far_rockaway/02a
Upper West Side,303 West 76th Street,A,10023,1,1,1,3675,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/303-west-76-street-new_york/a
Hell's Kitchen,460 West 42nd Street,52C,10036,1,2,0,7850,0,CONDO,0,f,f,,0.00,2025-10-27,2025-10-02,https://streeteasy.com/building/manhattan-view/52c
Hoboken,700 1st Street,6G,07030,2,2,0,4700,0,CONDO,1227,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/700-1-street-hoboken/6g
Far Rockaway,20-35 Seagirt Boulevard,01A,11691,2,1,0,2899,2416,RENTAL,876,f,f,12,2.00,2025-08-18,2025-10-02,https://streeteasy.com/building/20_35-seagirt-boulevard-far_rockaway/01a
Turtle Bay,160 East 48th Street,PH-Q,10017,1,1,0,6545,6181,RENTAL,0,f,f,18,1.00,2025-10-02,2025-10-02,https://streeteasy.com/building/the-buchanan/phq
Ridgewood,59-43 Madison Street,1,11385,3,1,0,4000,0,TWOFAMILY,1400,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/59_43-madison-street-ridgewood/1
Ditmars-Steinway,21-39 37th Street,4,11105,3,1,0,3500,0,HOUSE,1000,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/21_39-37-street-astoria/4
Battery Park City,355 South End Avenue,27A,10280,0,1,0,4254,0,RENTAL,580,f,f,,0.00,2025-10-28,2025-10-02,https://streeteasy.com/building/355-south-end-avenue-new_york/27a
Boerum Hill,195A Dean Street,4,11217,0,1,0,1950,0,THREEFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/195a-dean-street-brooklyn/4
Kips Bay,150 East 34th Street,202,10016,0,1,0,3595,0,RENTAL,521,f,f,,0.00,2025-10-29,2025-10-02,https://streeteasy.com/building/150-east-34-street-new_york/202
West Chelsea,415 West 23rd Street,14C,10011,0,1,0,4795,0,RENTAL,550,f,f,,0.00,2025-10-07,2025-10-02,https://streeteasy.com/building/415-west-23-street-new_york/14c
East Elmhurst,27-24 Gilmore Street,O1,11369,1,1,0,2349,0,THREEFAMILY,678,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/27_24-gillmore-street-east_elmhurst/o1
Carroll Gardens,66 2nd Place,1,11231,1,1,0,3450,0,FOURFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/66-2-place-brooklyn/1
Ditmars-Steinway,21-24 21st Road,2F,11105,2,1,0,3600,0,THREEFAMILY,0,f,f,,0.00,2025-10-15,2025-10-02,https://streeteasy.com/building/21_24-21-road-astoria/2f
Carroll Gardens,110 2nd Place,4,11231,1,1,0,3600,0,FOURFAMILY,0,f,f,,0.00,2025-11-15,2025-10-02,https://streeteasy.com/building/110-2-place-brooklyn/4
South Harlem,539 Manhattan Avenue,PARLOR FLOOR,10027,2,1,0,3600,0,THREEFAMILY,700,t,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/539-manhattan-avenue-new_york/parlor-floor
Weeksville,1593 Sterling Place,1L,11213,3,1,1,3200,0,RENTAL,0,f,f,,0.00,2025-10-10,2025-10-02,https://streeteasy.com/building/1593-sterling-place-brooklyn/1l
Upper West Side,37 West 76th Street,3R,10023,2,1,0,4550,0,RENTAL,0,f,f,,0.00,2025-10-20,2025-10-02,https://streeteasy.com/building/37-west-76-street-new_york/3r
Maspeth,53-132 63rd Street,1,11378,3,1,1,3600,0,TWOFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/53_132-63-street-maspeth/1
Astoria,28-47 42nd Street,2C,11103,2,1,0,3400,0,THREEFAMILY,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/28_47-42-street-astoria/2c
Hudson Yards,35 Hudson Yards,6701,10001,3,3,1,30000,0,CONDO,2570,t,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/35-hudson-yards-manhattan/6701
Bushwick,307 Cornelia Street,GARDEN,11237,3,2,0,3995,0,TWOFAMILY,0,f,f,,0.00,2025-10-06,2025-10-02,https://streeteasy.com/building/307-cornelia-street-brooklyn/garden
Forest Hills,103-19 68th Road,5C,11375,1,1,0,2375,0,RENTAL,825,f,f,,0.00,2025-09-26,2025-10-02,https://streeteasy.com/building/103_19-68-road-forest_hills/5c
Flatbush,1 Lenox Road,6B,11226,1,1,0,3500,3354,RENTAL,0,t,f,24,1.00,2025-11-01,2025-10-02,https://streeteasy.com/building/one-lenox/6b
East Village,107 East 2nd Street,14,10009,1,1,0,3350,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/107-east-2-street-new_york/14
Sutton Place,411 East 53rd Street,7J,10022,0,1,0,3200,0,CONDO,0,f,f,,0.00,2025-09-26,2025-10-02,https://streeteasy.com/building/411-east-53-street-new_york/7j
The Heights,47 Carlton Avenue,2,07307,3,1,0,3200,0,HOUSE,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/47-carlton-avenue-jersey_city/2
Sunset Park,601 40th Street,D3,11232,1,1,0,2121,0,RENTAL,0,f,f,,0.00,2025-10-30,2025-10-02,https://streeteasy.com/building/601-40-street-brooklyn/d3
Astoria,31-32 32nd Street,3D,11106,2,1,0,2999,0,RENTAL,0,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/31_32-32-street-astoria/3d
Greenwich Village,177 Thompson Street,6,10012,1,1,0,3250,0,CO_OP,0,t,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/177-thompson-street-new_york/6
Lenox Hill,114 East 71st Street,7E,10021,2,2,1,11500,10861,RENTAL,0,f,f,18,1.00,2025-10-10,2025-10-02,https://streeteasy.com/building/114-east-71-street-new_york/7e
Turtle Bay,160 East 48th Street,14L3,10017,2,2,0,6795,6418,RENTAL,0,f,f,18,1.00,2025-10-02,2025-10-02,https://streeteasy.com/building/the-buchanan/14l3
Astoria,31-14 35th Street,4B,11106,1,1,0,2900,0,RENTAL,0,f,f,,0.00,2025-09-30,2025-10-02,https://streeteasy.com/building/31_14-35-street-astoria/4b
Prospect Heights,461 Dean Street,32C,11217,2,2,0,6675,0,RENTAL,1086,f,f,,0.00,2025-10-10,2025-10-02,https://streeteasy.com/building/461-dean-street-brooklyn/32c
Turtle Bay,160 East 48th Street,6E-1,10017,2,1,0,6435,6078,RENTAL,0,f,f,18,1.00,2025-10-02,2025-10-02,https://streeteasy.com/building/the-buchanan/6e1
Lower East Side,8 Rivington Street,11,10002,2,1,0,4750,0,RENTAL,0,f,f,,0.00,2025-11-01,2025-10-02,https://streeteasy.com/building/8-rivington-street-new_york/11
Manhattan Valley,471 Central Park West,1D,10025,1,1,0,3200,0,RENTAL,0,f,f,,0.00,2025-09-19,2025-10-02,https://streeteasy.com/building/471-central-park-west-new_york/1d
Union City,2516 Summit Avenue,2,07087,3,2,0,2900,0,HOUSE,1100,f,f,,0.00,2025-10-02,2025-10-02,https://streeteasy.com/building/2516-summit-avenue-union_city/2
Journal Square,36 Journal Square,4407N,07306,2,2,0,6295,5666,UNKNOWN,1032,f,f,20,2.00,2025-08-01,2025-10-02,https://streeteasy.com/building/36-journal-square-jersey_city/4407n
Journal Square,36 Journal Square,1709,07306,1,1,0,3845,3461,UNKNOWN,707,f,f,20,2.00,2025-09-21,2025-10-02,https://streeteasy.com/building/36-journal-square-jersey_city/1709
Journal Square,36 Journal Square,4103N,07306,0,1,0,3400,3060,UNKNOWN,461,f,f,20,2.00,2025-10-02,2025-10-02,https://streeteasy.com/building/36-journal-square-jersey_city/4103n
Journal Square,36 Journal Square,1414,07306,2,2,0,5850,5265,UNKNOWN,989,f,f,20,2.00,2025-09-06,2025-10-02,https://streeteasy.com/building/36-journal-square-jersey_city/1414
