neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Central Harlem,213 West 135th Street,3B,10030,2,1,0,2750,,RENTAL,1000,f,f,,,2025-02-01,2025-01-11,https://streeteasy.com/building/213-west-135-street-new_york/3b
Chinatown,19 Division Street,2B,10002,0,1,0,2200,,RENTAL,,f,f,,,2025-01-11,2025-01-11,https://streeteasy.com/building/19-division-street-new_york/2b
Hell's Kitchen,643 9th Avenue,4E,10036,0,1,0,2870,2649,RENTAL,,f,f,13,1.00,2025-01-11,2025-01-11,https://streeteasy.com/building/643-9-avenue-new_york/4e
Ditmars-Steinway,24-44 Crescent Street,1,11102,3,1,0,3600,,THREEFAMILY,1000,f,f,,,2025-01-11,2025-01-11,https://streeteasy.com/building/24_44-crescent-street-astoria/1
NoMad,776 Sixth Avenue,34D,10001,1,1,0,5398,,RENTAL,631,f,t,,,2025-02-06,2025-01-11,https://streeteasy.com/building/the-capitol-776-sixth-avenue-new_york/34d
Lincoln Square,341 West 71st Street,3E,10023,1,1,0,3895,3635,RENTAL,,f,f,15,1.00,2025-01-12,2025-01-11,https://streeteasy.com/building/341-west-71-street-new_york/3e
College Point,3-16 126th Street,2,11356,2,1,0,2200,,TWOFAMILY,850,t,f,,,2025-01-11,2025-01-11,https://streeteasy.com/building/3_16-126-street-college_point/2
Lower East Side,150 Rivington Street,4B,10002,1,1,0,5000,,CONDO,610,f,f,,,2025-01-11,2025-01-11,https://streeteasy.com/building/150-rivington-street-new_york/4b
West Village,164 Waverly Place,5C,10014,1,1,0,5995,,RENTAL,,f,f,,,2025-02-01,2025-01-11,https://streeteasy.com/building/164-waverly-place-new_york/5c
Kensington,715 East 4th Street,3,11218,2,1,0,2400,,THREEFAMILY,1100,f,f,,,2025-01-10,2025-01-11,https://streeteasy.com/building/715-east-4-street-brooklyn/3
Upper West Side,68 West 82nd Street,A,10024,0,1,1,3200,,RENTAL,,f,f,,,2025-02-01,2025-01-11,https://streeteasy.com/building/68-west-82-street-new_york/a
Whitestone,22-07 Parsons Boulevard,2,11357,2,2,0,2700,,TWOFAMILY,,f,f,,,2025-02-01,2025-01-11,https://streeteasy.com/building/22_07-parsons-boulevard-whitestone/2
Hoboken,37 Willow Terrace,,07030,3,2,1,7900,,UNKNOWN,,f,f,,,2025-01-11,2025-01-11,https://streeteasy.com/rental/4627724
Woodside,55-05 Woodside Avenue,102,11377,1,1,0,2300,,CO_OP,,f,f,,,2025-01-11,2025-01-11,https://streeteasy.com/building/55_05-woodside-avenue-woodside/102
Bedford-Stuyvesant,41 Kosciuszko Street,414,11205,1,1,0,3200,,RENTAL,,f,t,,,2025-02-01,2025-01-11,https://streeteasy.com/building/41-kosciuszko-street-brooklyn/414
Gowanus,580 Union Street,3L,11215,2,1,0,3300,,RENTAL,,f,f,,,2025-02-01,2025-01-11,https://streeteasy.com/building/580-union-street-brooklyn/3l
