neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Upper West Side,792 Columbus Avenue,5K,10025,1,1,0,4730,0,RENTAL,650,t,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/792-columbus-avenue-new_york/5k
Kips Bay,141 East 33rd Street,11C,10016,1,1,0,5630,0,RENTAL,818,t,t,,0.00,2025-03-16,2025-03-03,https://streeteasy.com/building/stonehenge-33/11c
Upper West Side,255 West 94th Street,15E,10025,2,2,0,7990,0,RENTAL,1100,t,t,,0.00,2025-03-25,2025-03-03,https://streeteasy.com/building/the-lyric/15e
Soho,212 Lafayette Street,2A,10012,1,1,0,4710,0,RENTAL,500,t,t,,0.00,2025-03-12,2025-03-03,https://streeteasy.com/building/212-lafayette-street-new_york/2a
Turtle Bay,300 East 51st Street,19B,10022,1,1,0,6140,0,RENTAL,800,t,t,,0.00,2025-04-02,2025-03-03,https://streeteasy.com/building/300-east-51-street-new_york/19b
Upper West Side,212 West 91st Street,527,10024,1,1,0,4610,0,RENTAL,700,t,t,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/the-greystone/527
Prospect Heights,507 Dean Street,2R,11217,2,1,0,4200,0,RENTAL,0,f,f,,0.00,2025-04-01,2025-03-03,https://streeteasy.com/building/507-dean-street-brooklyn/2r
Weeksville,1584 Prospect Place,1B,11233,1,1,0,2599,2399,FOURFAMILY,0,f,t,13,1.00,2025-03-02,2025-03-03,https://streeteasy.com/building/1584-prospect-place-brooklyn/1b
Bushwick,63 Beaver Street,2,11206,1,1,0,2450,0,MIXED_USE,0,f,t,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/63-beaver-street-brooklyn/2
East Williamsburg,26 Catherine Street,1L,11211,2,1,0,4375,0,TWOFAMILY,0,f,t,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/26-catherine-street-brooklyn/1l
Sheepshead Bay,1780 Sheepshead Bay Road,6A,11235,0,1,0,2325,0,RENTAL,0,f,t,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/1780-sheepshead-bay-rd-brooklyn/6a
Bushwick,85 Desales Place,2A,11207,2,1,0,2800,0,TWOFAMILY,0,f,t,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/85-de-sales-place-brooklyn/2a
Astoria,25-19 30th Drive,3R,11102,1,1,0,2600,0,RENTAL,850,f,f,,0.00,2025-03-15,2025-03-03,https://streeteasy.com/building/25_19-30-drive-astoria/3r
Inwood,261 Seaman Avenue,B10,10034,1,1,0,2023,0,RENTAL,700,f,f,,0.00,2025-03-02,2025-03-03,https://streeteasy.com/building/261-seaman-avenue-new_york/b10
Upper West Side,775 Columbus Avenue,11F,10025,0,1,0,3791,0,RENTAL,437,f,t,,0.00,2025-05-02,2025-03-03,https://streeteasy.com/building/775-columbus-avenue-new_york/11f
Upper West Side,775 Columbus Avenue,11B,10025,1,1,0,4800,0,RENTAL,644,f,t,,0.00,2025-05-02,2025-03-03,https://streeteasy.com/building/775-columbus-avenue-new_york/11b
