neighborhood,address,unit,zip_code,bedrooms,bathrooms,half_baths,price,net_effective_price,building_type,sqft,furnished,no_fee,lease_months,months_free,available_date,date_listed,url
Murray Hill,245 E. 40th Street,11A,10016,1,1,0,4978,0,RENTAL,576,f,f,,0.00,2026-04-21,2026-02-01,https://streeteasy.com/building/murray-hill-tower/11a
Flatbush,162 Woodruff Avenue,1A,11226,1,1,0,2500,0,RENTAL,0,f,f,,0.00,2026-03-01,2026-02-01,https://streeteasy.com/building/162-woodruff-avenue-brooklyn/1a
Jamaica Estates,185-01 Hillside Avenue,5C,11432,0,1,0,1640,0,RENTAL,0,f,f,,0.00,2026-01-31,2026-02-01,https://streeteasy.com/building/185_01-hillside-avenue-jamaica/5c
East Village,104 East 1st Street,G2,10009,0,1,0,3050,0,RENTAL,0,f,f,,0.00,2026-02-12,2026-02-01,https://streeteasy.com/building/117-east-2-street-new_york/g2
Weehawken,5 Port Imperial Boulevard,0316,07086,1,1,0,4446,4104,RENTAL,692,f,f,13,1.00,2026-03-13,2026-02-01,https://streeteasy.com/building/the-declan/0316
West Village,666 Greenwich Street,425,10014,0,2,0,7595,0,RENTAL,670,f,f,,0.00,2026-03-15,2026-02-01,https://streeteasy.com/building/the-archive/425
Crown Heights,953 Dean Street,914,11238,0,1,0,3300,2829,RENTAL,0,f,f,14,2.00,2026-02-01,2026-02-01,https://streeteasy.com/building/prospect-house/914
Park Slope,374 7th Street,7,11215,0,1,0,2626,0,RENTAL,0,f,f,,0.00,2026-03-01,2026-02-01,https://streeteasy.com/building/374-7-street-brooklyn/7
Fort Hamilton,337 95th Street,2,11209,2,1,0,3400,0,TWOFAMILY,1500,f,f,,0.00,2026-03-15,2026-02-01,https://streeteasy.com/building/337-95-street-brooklyn/2
Greenpoint,60 Wharf Dr,715,11222,1,1,0,5150,0,RENTAL,0,f,f,,0.00,2026-02-02,2026-02-01,https://streeteasy.com/building/west-wharf/715
Upper West Side,50 West 97th Street,10B,10025,1,1,0,5070,0,RENTAL,0,t,f,,0.00,2026-01-31,2026-02-01,https://streeteasy.com/building/central-park-gardens/10b
